MPG,Cylinders,Displacement100ci,Horsepower100,Weight1000lb,Seconds0to60,Year,Year70To81,Origin,GallonsPer100Miles
18,8,3.07,1.3,3.504,12,70,1,1,5.6
15,8,3.5,1.65,3.693,11.5,70,1,1,6.7
18,8,3.18,1.5,3.436,11,70,1,1,5.6
16,8,3.04,1.5,3.433,12,70,1,1,6.3
17,8,3.02,1.4,3.449,10.5,70,1,1,5.9
15,8,4.29,1.98,4.341,10,70,1,1,6.7
14,8,4.54,2.2,4.354,9,70,1,1,7.1
14,8,4.4,2.15,4.312,8.5,70,1,1,7.1
14,8,4.55,2.25,4.425,10,70,1,1,7.1
15,8,3.9,1.9,3.85,8.5,70,1,1,6.7
15,8,3.83,1.7,3.563,10,70,1,1,6.7
14,8,3.4,1.6,3.609,8,70,1,1,7.1
15,8,4,1.5,3.761,9.5,70,1,1,6.7
14,8,4.55,2.25,3.086,10,70,1,1,7.1
24,4,1.13,0.95,2.372,15,70,1,3,4.2
22,6,1.98,0.95,2.833,15.5,70,1,1,4.5
18,6,1.99,0.97,2.774,15.5,70,1,1,5.6
21,6,2,0.85,2.587,16,70,1,1,4.8
27,4,0.97,0.88,2.13,14.5,70,1,3,3.7
26,4,0.97,0.46,1.835,20.5,70,1,2,3.8
25,4,1.1,0.87,2.672,17.5,70,1,2,4
24,4,1.07,0.9,2.43,14.5,70,1,2,4.2
25,4,1.04,0.95,2.375,17.5,70,1,2,4
26,4,1.21,1.13,2.234,12.5,70,1,2,3.8
21,6,1.99,0.9,2.648,15,70,1,1,4.8
10,8,3.6,2.15,4.615,14,70,1,1,10
10,8,3.07,2,4.376,15,70,1,1,10
11,8,3.18,2.1,4.382,13.5,70,1,1,9.1
9,8,3.04,1.93,4.732,18.5,70,1,1,11.1
27,4,0.97,0.88,2.13,14.5,71,1,3,3.7
28,4,1.4,0.9,2.264,15.5,71,1,1,3.6
25,4,1.13,0.95,2.228,14,71,1,3,4
19,6,2.32,1,2.634,13,71,1,1,5.3
16,6,2.25,1.05,3.439,15.5,71,1,1,6.3
17,6,2.5,1,3.329,15.5,71,1,1,5.9
19,6,2.5,0.88,3.302,15.5,71,1,1,5.3
18,6,2.32,1,3.288,15.5,71,1,1,5.6
14,8,3.5,1.65,4.209,12,71,1,1,7.1
14,8,4,1.75,4.464,11.5,71,1,1,7.1
14,8,3.51,1.53,4.154,13.5,71,1,1,7.1
14,8,3.18,1.5,4.096,13,71,1,1,7.1
12,8,3.83,1.8,4.955,11.5,71,1,1,8.3
13,8,4,1.7,4.746,12,71,1,1,7.7
13,8,4,1.75,5.14,12,71,1,1,7.7
18,6,2.58,1.1,2.962,13.5,71,1,1,5.6
22,4,1.4,0.72,2.408,19,71,1,1,4.5
19,6,2.5,1,3.282,15,71,1,1,5.3
18,6,2.5,0.88,3.139,14.5,71,1,1,5.6
23,4,1.22,0.86,2.22,14,71,1,1,4.3
28,4,1.16,0.9,2.123,14,71,1,2,3.6
30,4,0.79,0.7,2.074,19.5,71,1,2,3.3
30,4,0.88,0.76,2.065,14.5,71,1,2,3.3
31,4,0.71,0.65,1.773,19,71,1,3,3.2
35,4,0.72,0.69,1.613,18,71,1,3,2.9
27,4,0.97,0.6,1.834,19,71,1,2,3.7
26,4,0.91,0.7,1.955,20.5,71,1,1,3.8
24,4,1.13,0.95,2.278,15.5,72,1,3,4.2
25,4,0.975,0.8,2.126,17,72,1,1,4
23,4,0.97,0.54,2.254,23.5,72,1,2,4.3
20,4,1.4,0.9,2.408,19.5,72,1,1,5
21,4,1.22,0.86,2.226,16.5,72,1,1,4.8
13,8,3.5,1.65,4.274,12,72,1,1,7.7
14,8,4,1.75,4.385,12,72,1,1,7.1
15,8,3.18,1.5,4.135,13.5,72,1,1,6.7
14,8,3.51,1.53,4.129,13,72,1,1,7.1
17,8,3.04,1.5,3.672,11.5,72,1,1,5.9
11,8,4.29,2.08,4.633,11,72,1,1,9.1
13,8,3.5,1.55,4.502,13.5,72,1,1,7.7
12,8,3.5,1.6,4.456,13.5,72,1,1,8.3
13,8,4,1.9,4.422,12.5,72,1,1,7.7
19,3,0.7,0.97,2.33,13.5,72,1,3,5.3
15,8,3.04,1.5,3.892,12.5,72,1,1,6.7
13,8,3.07,1.3,4.098,14,72,1,1,7.7
13,8,3.02,1.4,4.294,16,72,1,1,7.7
14,8,3.18,1.5,4.077,14,72,1,1,7.1
18,4,1.21,1.12,2.933,14.5,72,1,2,5.6
22,4,1.21,0.76,2.511,18,72,1,2,4.5
21,4,1.2,0.87,2.979,19.5,72,1,2,4.8
26,4,0.96,0.69,2.189,18,72,1,2,3.8
22,4,1.22,0.86,2.395,16,72,1,1,4.5
28,4,0.97,0.92,2.288,17,72,1,3,3.6
23,4,1.2,0.97,2.506,14.5,72,1,3,4.3
28,4,0.98,0.8,2.164,15,72,1,1,3.6
27,4,0.97,0.88,2.1,16.5,72,1,3,3.7
13,8,3.5,1.75,4.1,13,73,1,1,7.7
14,8,3.04,1.5,3.672,11.5,73,1,1,7.1
13,8,3.5,1.45,3.988,13,73,1,1,7.7
14,8,3.02,1.37,4.042,14.5,73,1,1,7.1
15,8,3.18,1.5,3.777,12.5,73,1,1,6.7
12,8,4.29,1.98,4.952,11.5,73,1,1,8.3
13,8,4,1.5,4.464,12,73,1,1,7.7
13,8,3.51,1.58,4.363,13,73,1,1,7.7
14,8,3.18,1.5,4.237,14.5,73,1,1,7.1
13,8,4.4,2.15,4.735,11,73,1,1,7.7
12,8,4.55,2.25,4.951,11,73,1,1,8.3
13,8,3.6,1.75,3.821,11,73,1,1,7.7
18,6,2.25,1.05,3.121,16.5,73,1,1,5.6
16,6,2.5,1,3.278,18,73,1,1,6.3
18,6,2.32,1,2.945,16,73,1,1,5.6
18,6,2.5,0.88,3.021,16.5,73,1,1,5.6
23,6,1.98,0.95,2.904,16,73,1,1,4.3
26,4,0.97,0.46,1.95,21,73,1,2,3.8
11,8,4,1.5,4.997,14,73,1,1,9.1
12,8,4,1.67,4.906,12.5,73,1,1,8.3
13,8,3.6,1.7,4.654,13,73,1,1,7.7
12,8,3.5,1.8,4.499,12.5,73,1,1,8.3
18,6,2.32,1,2.789,15,73,1,1,5.6
20,4,0.97,0.88,2.279,19,73,1,3,5
21,4,1.4,0.72,2.401,19.5,73,1,1,4.8
22,4,1.08,0.94,2.379,16.5,73,1,3,4.5
18,3,0.7,0.9,2.124,13.5,73,1,3,5.6
19,4,1.22,0.85,2.31,18.5,73,1,1,5.3
21,6,1.55,1.07,2.472,14,73,1,1,4.8
26,4,0.98,0.9,2.265,15.5,73,1,2,3.8
15,8,3.5,1.45,4.082,13,73,1,1,6.7
16,8,4,2.3,4.278,9.5,73,1,1,6.3
29,4,0.68,0.49,1.867,19.5,73,1,2,3.4
24,4,1.16,0.75,2.158,15.5,73,1,2,4.2
20,4,1.14,0.91,2.582,14,73,1,2,5
19,4,1.21,1.12,2.868,15.5,73,1,2,5.3
15,8,3.18,1.5,3.399,11,73,1,1,6.7
24,4,1.21,1.1,2.66,14,73,1,2,4.2
20,6,1.56,1.22,2.807,13.5,73,1,3,5
11,8,3.5,1.8,3.664,11,73,1,1,9.1
20,6,1.98,0.95,3.102,16.5,74,1,1,5
19,6,2.32,1,2.901,16,74,1,1,5.3
15,6,2.5,1,3.336,17,74,1,1,6.7
31,4,0.79,0.67,1.95,19,74,1,3,3.2
26,4,1.22,0.8,2.451,16.5,74,1,1,3.8
32,4,0.71,0.65,1.836,21,74,1,3,3.1
25,4,1.4,0.75,2.542,17,74,1,1,4
16,6,2.5,1,3.781,17,74,1,1,6.3
16,6,2.58,1.1,3.632,18,74,1,1,6.3
18,6,2.25,1.05,3.613,16.5,74,1,1,5.6
16,8,3.02,1.4,4.141,14,74,1,1,6.3
13,8,3.5,1.5,4.699,14.5,74,1,1,7.7
14,8,3.18,1.5,4.457,13.5,74,1,1,7.1
14,8,3.02,1.4,4.638,16,74,1,1,7.1
14,8,3.04,1.5,4.257,15.5,74,1,1,7.1
29,4,0.98,0.83,2.219,16.5,74,1,2,3.4
26,4,0.79,0.67,1.963,15.5,74,1,2,3.8
26,4,0.97,0.78,2.3,14.5,74,1,2,3.8
31,4,0.76,0.52,1.649,16.5,74,1,3,3.2
32,4,0.83,0.61,2.003,19,74,1,3,3.1
28,4,0.9,0.75,2.125,14.5,74,1,1,3.6
24,4,0.9,0.75,2.108,15.5,74,1,2,4.2
26,4,1.16,0.75,2.246,14,74,1,2,3.8
24,4,1.2,0.97,2.489,15,74,1,3,4.2
26,4,1.08,0.93,2.391,15.5,74,1,3,3.8
31,4,0.79,0.67,2,16,74,1,2,3.2
19,6,2.25,0.95,3.264,16,75,1,1,5.3
18,6,2.5,1.05,3.459,16,75,1,1,5.6
15,6,2.5,0.72,3.432,21,75,1,1,6.7
15,6,2.5,0.72,3.158,19.5,75,1,1,6.7
16,8,4,1.7,4.668,11.5,75,1,1,6.3
15,8,3.5,1.45,4.44,14,75,1,1,6.7
16,8,3.18,1.5,4.498,14.5,75,1,1,6.3
14,8,3.51,1.48,4.657,13.5,75,1,1,7.1
17,6,2.31,1.1,3.907,21,75,1,1,5.9
16,6,2.5,1.05,3.897,18.5,75,1,1,6.3
